Description;Points;Title;Price;Designation;Variety;Country;Winery;Taster;Alcohol;Bottle size;Category;Importer;Date published;Region;City
Fragrant, structured and loaded with finesse, this radiant red has enticing scents of pressed rose, woodland berry, moist earth and camphor. Full bodied but boasting a weightless elegance, the chiseled palate has depth, focus and tension, delivering juicy red cherry, strawberry compote, licorice and crushed mint. Firm refined tannins and vibrant acidity provide impeccable balance and an age-worthy structure. Drink 2026–2046. KERIN O’KEEFE;99;Brovia 2016 Villero (Barolo);$106;Villero;Nebbiolo;Barolo, Piedmont, Italy;Brovia;KERIN O’KEEFE;14.5%;750 ml;Red;Rosenthal Wine Merchant;9/1/2020;Piedmont;Barolo
Rose, iris, red berry and camphor mingle with a whiff of dark spice on this gorgeous, radiant red. Firmly structured but also boasting extraordinary finesse, the chiseled palate delivers ripe morello cherry, crushed raspberry, star anise and tobacco set against a backbone of taut fine-grained tannins. Vibrant acidity keeps it well balanced and energized. Drink 2024–2046. KERIN O’KEEFE;99;Gaja 2016 Sperss (Barolo);$250;Sperss;Nebbiolo;Barolo, Piedmont, Italy;Gaja;KERIN O’KEEFE;14.5%;750 ml;Red;Terlato Wines International;9/1/2020;Piedmont;Barolo
Aromas of woodland berry, underbrush, hazelnut and camphor form the nose along with a whiff of rose petal on this captivating, delicious wine. The full-bodied structured palate is still young and primary but already shows raspberry compote, ripe Marasca cherry, star anise, tobacco and the barest hint of game. Tightly knit noble tannins and fresh acidity provide the firm frame and impart serious aging potential. Hold for even more complexity. Drink 2026–2056. KERIN O’KEEFE;99;Cavallotto 2016 Bricco Boschis (Barolo);$90;Bricco Boschis;Nebbiolo;Barolo, Piedmont, Italy;Cavallotto;KERIN O’KEEFE;14.5%;750 ml;Red;Skurnik Wines, Inc;9/1/2020;Piedmont;Barolo
From the estate that proved the extraordinary quality of the Ravera subzone, this compelling wine opens with heady scents of rose, iris, perfumed berry, new leather and camphor. Focused and full bodied, the precise palate is delicious and firmly structured, featuring ripe red cherry, crushed raspberry, licorice and tobacco framed in tightly knit fine-grained tannins. Fresh acidity keeps it beautifully balanced and lends youthful tension. Drink 2024–2056. KERIN O’KEEFE;99;Elvio Cogno 2016 Ravera (Barolo);$112;Ravera;Nebbiolo;Barolo, Piedmont, Italy;Elvio Cogno;KERIN O’KEEFE;14.5%;750 ml;Red;Wilson Daniels Ltd;9/1/2020;Piedmont;Barolo
Wild berry, iris, menthol, star anise and new leather aromas follow over to the precise, full-bodied palate along with juicy cherry, raspberry compote and tobacco. Boasting elegance and structure in equal measure, it has taut refined tannins and fresh acidity that will give this decades of drinking pleasure. Drink 2026–2056. KERIN O’KEEFE;99;Brovia 2016 Garblèt Suè (Barolo);$92;Garblèt Suè;Nebbiolo;Barolo, Piedmont, Italy;Brovia;KERIN O’KEEFE;14.5%;750 ml;Red;Rosenthal Wine Merchant;9/1/2020;Piedmont;Barolo
Another fragrant, drop-dead gorgeous wine from this fantastic estate, this opens with enticing scents of wild rose, red berry, baking spice and a whiff of smoke. Showing the hallmark finesse of Verduno, the smooth, delicious palate features juicy Marasca cherry, raspberry compote, licorice and flinty mineral framed in taut, refined tannins. Bright acidity keeps it youthfully tense and impeccably balanced. Drink 2024–2036. KERIN O’KEEFE;98;Comm. G. B. Burlotto 2016 Barolo;$60;;Nebbiolo;Barolo, Piedmont, Italy;Comm. G. B. Burlotto;KERIN O’KEEFE;14.5%;750 ml;Red;Bacchanal Wine Imports;9/1/2020;Piedmont;Barolo
Fragrant, full bodied and boasting great finesse, this delicious Barolo hits all the right buttons. It opens with enticing aromas of woodland berry, rose, camphor, botanical herb and exotic spice while the elegantly structured palate doles out juicy red cherry, crushed raspberry, licorice and cinnamon. Firm, fine-grained tannins and fresh acidity keep it impeccably balanced. It's already tempting but hold for even more complexity. Drink 2024–2046. KERIN O’KEEFE;98;Sandrone 2016 Le Vigne (Barolo);$155;Le Vigne;Nebbiolo;Barolo, Piedmont, Italy;Sandrone;KERIN O’KEEFE;14.5%;750 ml;Red;Vintus LLC;9/1/2020;Piedmont;Barolo
Camphor, pressed rose, new leather and forest-berry aromas shape the enticing nose on this firmly structured, focused red. The vibrant youthfully austere palate shows intensity, elegance and tension, delivering red cherry, strawberry compote, orange zest and tobacco. Assertive fine-grained tannins and racy acidity provide support while a licorice note lingers on the finish—an excellent performance for the difficult vintage. Drink 2026–2034. KERIN O’KEEFE;98;Oddero 2014 Vignarionda Riserva (Barolo);$170;Vignarionda Riserva;Nebbiolo;Barolo, Piedmont, Italy;Oddero;KERIN O’KEEFE;14%;750 ml;Red;The Piedmont Guy;9/1/2020;Piedmont;Barolo
New leather, pressed rose, underbrush, dark spice and camphor are just some of the aromas you'll find on this extraordinary red. Full bodied, with depth and finesse, the elegant, structured palate delivers ripe Marasca cherry, crushed raspberry, licorice and tobacco framed in firm fine-grained tannins. Fresh acidity provides impeccable balance and aging potential. Drink 2024–2036. KERIN O’KEEFE;98;Figli Luigi Oddero 2016 Rocche Rivera (Barolo);$120;Rocche Rivera;Nebbiolo;Barolo, Piedmont, Italy;Figli Luigi Oddero;KERIN O’KEEFE;14.5%;750 ml;Red;Ionia Atlantic Imports, LLC;9/1/2020;Piedmont;Barolo
Camphor, rose, red-berry and star anise aromas slowly take shape on this compelling, gorgeous red. Delicious, elegant and structured, the palate has youthful tension but already shows fantastic depth, delivering juicy Marasca cherry, raspberry compote, licorice and clove before closing on a hazelnut note. Firm refined tannins keep it perfectly balanced and give it an age-worthy structure. Drink 2026–2046. KERIN O’KEEFE;98;Brovia 2016 Rocche di Castiglione (Barolo);$106;Rocche di Castiglione;Nebbiolo;Barolo, Piedmont, Italy;Brovia;KERIN O’KEEFE;14.5%;750 ml;Red;Rosenthal Wine Merchant;9/1/2020;Piedmont;Barolo
For all who criticized the 2014 vintage across the board, this is a great counterpoint. Opening with enticing scents of new leather, rose, camphor and perfumed berry, it's a textbook Serralunga Barolo. The chiseled palate is radiant, delivering juicy Marasca cherry, spiced cranberry and licorice while firm, fine-grained tannins provide taut support. Bright acidity keeps it racy, focused and balanced. It beautifully proves that even in challenging vintages, great producers can make great wines. Drink 2024–2034. KERIN O’KEEFE;98;Figli Luigi Oddero 2014 Vignarionda (Barolo);$160;Vignarionda;Nebbiolo;Barolo, Piedmont, Italy;Figli Luigi Oddero;KERIN O’KEEFE;14%;750 ml;Red;Ionia Atlantic Imports, LLC;9/1/2020;Piedmont;Barolo
Iris, rose, botanical herb and dark spice aromas lead the way in this fragrant red, along with an enticing whiff of graphite. Elegantly structured and boasting youthful tension, the vibrant palate delivers juicy Morello cherry, crushed raspberry, cinnamon and star anise framed in taut, refined tannins. It's balanced and focused, with bright acidity. Drink 2024–2036. KERIN O’KEEFE;97;Renato Ratti 2016 Marcenasco (Barolo);$65;Marcenasco;Nebbiolo;Barolo, Piedmont, Italy;Renato Ratti;KERIN O’KEEFE;14%;750 ml;Red;LUX Wines;9/1/2020;Piedmont;Barolo
Woodland berry, wild rose, new leather and camphor aromas shape the nose on this fragrant red. It's structured but also boasts a weightless elegance, delivering juicy red cherry, strawberry compote, licorice and tobacco set against noble tannins. Fresh acidity keeps it well balanced. Drink 2026–2056. KERIN O’KEEFE;97;Massolino 2016 Parafada (Barolo);$107;Parafada;Nebbiolo;Barolo, Piedmont, Italy;Massolino;KERIN O’KEEFE;14.5%;750 ml;Red;Vineyard Brands;9/1/2020;Piedmont;Barolo
Menthol, rose, new leather and forest-berry aromas are front and center on this fragrant red. Full bodied and still youthfully austere, the tightly knit, palate shows dried Marasca cherry, spiced cranberry, licorice and crushed mint alongside firm fine-grained tannins. Give it time to fully unwind and develop even more complexity. Drink 2026–2056. KERIN O’KEEFE;97;Elio Grasso 2016 Ginestra Casa Matè (Barolo);;Ginestra Casa Matè;Nebbiolo;Barolo, Piedmont, Italy;Elio Grasso;KERIN O’KEEFE;15%;750 ml;Red;Tenzing Wine and Spirits;9/1/2020;Piedmont;Barolo
Enticingly fragrant, this radiant red opens with aromas of wild red berry, botanical herb, rose and smoky flint. Vibrant and savory, the chiseled palate delivers strawberry compote, pomegranate, thyme and licorice before an energizing orange-zest close. Taut fine-grained tannins and racy acidity lend balance and age-worthy structure. Drink 2026–2046. KERIN O’KEEFE;97;Comm. G. B. Burlotto 2016 Acclivi (Barolo);$89;Acclivi;Nebbiolo;Barolo, Piedmont, Italy;Comm. G. B. Burlotto;KERIN O’KEEFE;14.5%;750 ml;Red;Bacchanal Wine Imports;9/1/2020;Piedmont;Barolo
Fragrant, elegant and brimming with youthful tension, this radiant red has enticing aromas evoking red rose, forest berry, camphor and dark spice. Loaded with finesse, the focused palate doles out juicy red cherry, pomegranate, licorice and a mineral tone alongside taut, refined tannins. Fresh acidity keeps balance and focus. Drink 2026–2036. KERIN O’KEEFE;97;Renato Ratti 2016 Conca (Barolo);$120;Conca;Nebbiolo;Barolo, Piedmont, Italy;Renato Ratti;KERIN O’KEEFE;14%;750 ml;Red;LUX Wines;9/1/2020;Piedmont;Barolo
Scents of rose, menthol, sandalwood and crushed cherry shape the enticing nose on this focused, fragrant wine. Elegantly structured and delicious, the vibrant palate delivers strawberry compote, orange zest and licorice framed in taut refined tannins. Drink 2024–2036. KERIN O’KEEFE;97;Brandini 2016 R56 (Barolo);$80;R56;Nebbiolo;Barolo, Piedmont, Italy;Brandini;KERIN O’KEEFE;14.5%;750 ml;Red;USA Wine West;9/1/2020;Piedmont;Barolo
Woodland-berry, eucalyptus, star anise and new leather aromas are front and center on this radiant red. Firmly structured, the youthfully austere palate shows Marasca cherry, strawberry compote and licorice accompanied by assertive, fine-grained tannins that need a few more years to fully unwind. Fresh acidity keeps it well balanced and lends great aging potential. Drink 2026–2056. KERIN O’KEEFE;97;Bruna Grimaldi 2016 Badarina (Barolo);$90;Badarina;Nebbiolo;Barolo, Piedmont, Italy;Bruna Grimaldi;KERIN O’KEEFE;14.5%;750 ml;Red;Massanois Imports;9/1/2020;Piedmont;Barolo
Beguiling aromas of pressed rose, perfumed berry, dark spice and new leather mingle together on this fragrant, enticing red. Showing extraordinary finesse, the chiseled delicious palate delivers juicy raspberry, tart red cherry, cinnamon, star anise and chopped mint. A smoky mineral note graces the finish while taut lithe tannins and bright acidity provide elegant support—another beauty from what was overall a difficult vintage. Drink 2022–2034. KERIN O’KEEFE;97;Elvio Cogno 2014 Vigna Elena Riserva (Barolo);$143;Vigna Elena Riserva;Nebbiolo;Barolo, Piedmont, Italy;Elvio Cogno;KERIN O’KEEFE;;750 ml;Red;Wilson Daniels Ltd;9/1/2020;Piedmont;Barolo
Enticing scents of rose, iris, perfumed berry and an earthy whiff of truffle shape the fragrant nose on this dazzling wine. The delicious, full-bodied palate boasts structure and a weightless elegance, delivering juicy Marasca cherry, cherry compote, cinnamon and star anise. Taut polished tannins and fresh acidity provide balance and an elegant structure. It's already irresistible but will also age well for years. Drink 2022–2035. KERIN O’KEEFE;97;Elvio Cogno 2015 Bricco Pernice (Barolo);$135;Bricco Pernice;Nebbiolo;Barolo, Piedmont, Italy;Elvio Cogno;KERIN O’KEEFE;14.5%;750 ml;Red;Wilson Daniels Ltd;9/1/2020;Piedmont;Barolo
Dark berry, exotic spice, blue-flower and menthol aromas take shape on this fragrant red. Full bodied and loaded with finesse, the firm palate doles out juicy morello cherry, raspberry compote, licorice and hints of French oak alongside firm fine-grained tannins. Drink 2024–2036. KERIN O’KEEFE;97;Sandrone 2016 Aleste (Barolo);$175;Aleste;Nebbiolo;Barolo, Piedmont, Italy;Sandrone;KERIN O’KEEFE;14.5%;750 ml;Red;Vintus LLC;9/1/2020;Piedmont;Barolo
Glossy, elegant and full bodied, this beauty opens with aromas of dark berry, menthol, wild rose and exotic spice. The delicious, finessed palate doles out mouthfuls of juicy red cherry, raspberry compote, vanilla and licorice framed in taut, fine-grained tannins. Vibrant acidity keeps it focused and lends youthful tension. Drink 2024–2046. KERIN O’KEEFE;97;Renato Ratti 2016 Rocche dell'Annunziata (Barolo);$140;Rocche dell'Annunziata;Nebbiolo;Barolo, Piedmont, Italy;Renato Ratti;KERIN O’KEEFE;14.5%;750 ml;Red;LUX Wines;9/1/2020;Piedmont;Barolo
Aromas of underbrush, camphor, fragrant pipe tobacco and a whiff of scorched earth form the nose on this captivating red. Firmly structured and boasting finesse, the youthful palate already shows great depth and precision, delivering raspberry compote, juicy black cherry, licorice and a hint of hazelnut set against firm fine-grained tannins and fresh acidity. Give it time to fully develop. Drink 2025–2040. KERIN O’KEEFE;97;Ettore Germano 2015 Vignarionda (Barolo);$154;Vignarionda;Nebbiolo;Barolo, Piedmont, Italy;Ettore Germano;KERIN O’KEEFE;14%;750 ml;Red;Sussex Wine Merchants;9/1/2020;Piedmont;Barolo
Underbrush, wild herb, menthol and dark-spice aromas mingle with a whiff of fragrant purple flower on this gorgeous red. It boasts firm structure and finesse in equal measure, featuring juicy morello cherry, raspberry compote, licorice and cinnamon framed in assertive but refined tannins and fresh acidity. A minty note lingers on the finish. Drink 2028–2056. KERIN O’KEEFE;97;Giovanni Rosso 2016 Serra (Barolo);$95;Serra;Nebbiolo;Barolo, Piedmont, Italy;Giovanni Rosso;KERIN O’KEEFE;14%;750 ml;Red;Vias Imports;9/1/2020;Piedmont;Barolo
This fantastic, focused red opens with enticing scents of rose, woodland berry, forest floor and a balsamic whiff of camphor. It's full bodied and elegantly structured, delivering flavors of ripe morello cherry, raspberry compote, cinnamon and licorice before a hazelnut close. Firm fine-grained tannins and fresh acidity provide the framework. Drink 2024–2046. KERIN O’KEEFE;97;Elio Grasso 2016 Gaverini (Barolo);;Gaverini;Nebbiolo;Barolo, Piedmont, Italy;Elio Grasso;KERIN O’KEEFE;14.5%;750 ml;Red;Tenzing Wine and Spirits;9/1/2020;Piedmont;Barolo
Aromas of ripe forest berry, camphor and fragrant purple flower come together in this full-bodied red, along with whiffs of new leather and underbrush. Concentrated and enveloping, the palate boasts an almost weightless finesse, delivering juicy Morello cherry, cranberry compote and licorice while velvety tannins lend seamless support. Drink 2024–2036. KERIN O’KEEFE;97;Fratelli Alessandria 2016 Monvigliero (Barolo);$90;Monvigliero;Nebbiolo;Barolo, Piedmont, Italy;Fratelli Alessandria;KERIN O’KEEFE;15%;750 ml;Red;North Berkeley Imports;9/1/2020;Piedmont;Barolo
Rose, red-berry, camphor and dark-spice aromas slowly emerge in the glass. Showing Serralunga's hallmark of firm structure and finesse, the full-bodied, youthfully tense palate delivers juicy red cherry, raspberry compote, dried mint and licorice set against a backbone of noble tannins. Bright acidity keeps it impeccably balanced. Drink 2026–2056. KERIN O’KEEFE;97;Giovanni Rosso 2016 Cerretta (Barolo);$95;Cerretta;Nebbiolo;Barolo, Piedmont, Italy;Giovanni Rosso;KERIN O’KEEFE;14%;750 ml;Red;Vias Imports;9/1/2020;Piedmont;Barolo
Forest berry, underbrush, iris, rose and camphor waft out of the glass. Savory, vibrant and expressive, the polished, structured palate delivers strawberry compote, crushed morello cherry, licorice and tobacco alongside firm, refined tannins. Bright acidity generates youthful tension. Drink 2024–2036. KERIN O’KEEFE;96;Brandini 2016 Cerretta (Barolo);$90;Cerretta;Nebbiolo;Barolo, Piedmont, Italy;Brandini;KERIN O’KEEFE;14.5%;750 ml;Red;USA Wine West;9/1/2020;Piedmont;Barolo
Woodland-berry, new leather, camphor and fragrant blue-flower aromas align in the glass. Showing youthful tension and depth, the palate is still immaturely austere but delivers juicy Marasca cherry, raspberry and licorice alongside firm, refined tannins. Fresh acidity keeps it well balanced. Drink 2024–2041. KERIN O’KEEFE;96;Giacomo Fenocchio 2016 Villero (Barolo);$62;Villero;Nebbiolo;Barolo, Piedmont, Italy;Giacomo Fenocchio;KERIN O’KEEFE;14.5%;750 ml;Red;Skurnik Wines, Inc;9/1/2020;Piedmont;Barolo
